"Dublin Core:Title","Dublin Core:Description","Dublin Core:Rights","Dublin Core:Provenance","Dublin Core:Is Part Of","Dublin Core:Subject","Dublin Core:Spatial Coverage","Dublin Core:Temporal Coverage","Dublin Core:Date Issued","Dublin Core:Creator","Dublin Core:Publisher","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Relation","Dublin Core:References","Dublin Core:Source","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Coverage","Dublin Core:Alternative Title","Dublin Core:Abstract","Dublin Core:Table Of Contents","Dublin Core:Date Available","Dublin Core:Date Created","Dublin Core:Date Accepted","Dublin Core:Date Copyrighted","Dublin Core:Date Submitted","Dublin Core:Date Modified","Dublin Core:Date Valid","Dublin Core:Access Rights","Dublin Core:License","Dublin Core:Conforms To","Dublin Core:Has Format","Dublin Core:Has Part","Dublin Core:Has Version","Dublin Core:Is Format Of","Dublin Core:Is Referenced By","Dublin Core:Is Replaced By","Dublin Core:Is Required By","Dublin Core:Is Version Of","Dublin Core:Replaces","Dublin Core:Requires","Dublin Core:Extent","Dublin Core:Medium","Dublin Core:Bibliographic Citation","Dublin Core:Accrual Method","Dublin Core:Accrual Periodicity","Dublin Core:Accrual Policy","Dublin Core:Audience","Dublin Core:Audience Education Level","Dublin Core:Mediator","Dublin Core:Instructional Method","Dublin Core:Rights Holder","Item Type Metadata:Text","Item Type Metadata:Interviewer","Item Type Metadata:Interviewee","Item Type Metadata:Location","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:Duration","Item Type Metadata:Compression","Item Type Metadata:Producer","Item Type Metadata:Director","Item Type Metadata:Bit Rate/Frequency","Item Type Metadata:Time Summary","Item Type Metadata:Email Body","Item Type Metadata:Subject Line","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:CC","Item Type Metadata:BCC","Item Type Metadata:Number of Attachments","Item Type Metadata:Standards","Item Type Metadata:Objectives","Item Type Metadata:Materials","Item Type Metadata:Lesson Plan Text","Item Type Metadata:URL","Item Type Metadata:Event Type","Item Type Metadata:Participants","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Occupation","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","Item Type Metadata:Notes","Item Type Metadata:Stage",GeoBlacklight:UUID,"GeoBlacklight:Layer ID",GeoBlacklight:Slug,"GeoBlacklight:Geometry Type","GeoBlacklight:Layer Modified Date","GeoBlacklight:GeoRSS Box","GeoBlacklight:GeoRSS Polygon","GeoBlacklight:GeoRSS Point","GeoBlacklight:Apache Solr Geometry","GeoBlacklight:Apache Solr Bounding Box","GeoBlacklight:Apache Solr Year","GeoBlacklight:Information Page",GeoBlacklight:Thumbnail,"GeoBlacklight:Download File","GeoBlacklight:IIIF Server","GeoBlacklight:Esri Rest Service","GeoBlacklight:Web Map Service",tags,file,itemType,collection,public,featured
"Michigan 2 [Plate CXXXVII]",,Public,"Michigan State","Michigan State University Map Library","Tourist maps","5001836: Michigan (country, state, region,...), Michigan, United States",1899,,"Royce, Charles and Cyrus Thomas",,JPEG,English,Image,a0a88659-1814-4dbc-8e08-f3f8c1860f37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a0a88659-1814-4dbc-8e08-f3f8c1860f37,,,"Image",,"-90.42,41.7,-82.12,48.31",,"45.005,-86.27",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/e51u55v18-Michigan2,https://archive.lib.msu.edu/maps/public/images/e51u55v18-Michigan2-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/e51u55v18-Michigan2.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"New Map of England and Wales",,Public,"Michigan State","Michigan State University Map Library",,"2635167: Great Britain (country, state, region,...), United Kingdom",1757,,,,JPEG,English,Image,9e3cc11a-72d1-465e-8868-45de52a13659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e3cc11a-72d1-465e-8868-45de52a13659,,,"Image",,"6.4166,49.85,1.75,55.8",,"52.825,4.0833",,,,https://lib.msu.edu/branches/map/JPEGS/621-c-A-1757EnglandWales,https://archive.lib.msu.edu/maps/public/images/621-c-A-1757EnglandWales-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/621-c-A-1757EnglandWales.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of land in the eighth ward of the city of Brooklyn belonging to the heirs of Leffert Bergen",,Public,"Michigan State","Michigan State University Map Library",,"5110302: Kings County (city, village,...), New York, United States",1882,,,,JPEG,English,Image,9ba4283b-8ed0-499a-82b4-7d16c3a2b310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ba4283b-8ed0-499a-82b4-7d16c3a2b310,,,"Image",,"-74.0294011351,40.6439296469,-74.0146977193,40.6539676337",,"40.6489486403,-74.0220494272",,,,https://lib.msu.edu/branches/map/scanned/UnitedStates/862-d-E-1882,https://archive.lib.msu.edu/maps/public/images/862-d-E-1882-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/862-d-bergen-estate.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the states of Michigan and Wisconsin",,Public,"Michigan State","Michigan State University Map Library",,"4994594: Great Lakes (stream, lake, ...), United States",1865,,"Mitchell, S. Augustus",,JPEG,English,Image,98e0cbc5-2edf-476d-ad4e-e180236d1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98e0cbc5-2edf-476d-ad4e-e180236d1776,,,"Image",,"-93.04,41.7,-82.12,48.31",,"45.005,-87.58",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/Michigan/14-G1019M67,https://archive.lib.msu.edu/maps/public/images/14-g1029m67.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/14-G1019M67.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"The Seat of War in the Circle of Westphalia",,Public,"Michigan State","Michigan State University Map Library",,"2921044: Germany (country, state, region,...), Germany",1757,,,,JPEG,English,Image,984bb27a-9c41-4c21-9fe3-ff9ee40913b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984bb27a-9c41-4c21-9fe3-ff9ee40913b2,,,"Image",,"3.7761,50.6685,11.0271,54.5034",,"52.58595,7.4016",,,,https://lib.msu.edu/branches/map/scanned/Europe/600-3-B-1757-West-400,https://archive.lib.msu.edu/maps/public/images/600-3-B-1757-west-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/600-3-B-1757-west-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Plan of Detroit",,Public,"Michigan State","Michigan State University Map Library",,"4990729: Detroit (city, village,...), Michigan, United States",1881,,,,JPEG,English,Image,97d906b2-98fb-4c28-9767-d96915d153db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97d906b2-98fb-4c28-9767-d96915d153db,,,"Image",,"-83.10388,42.255,-83.0072,42.36638",,"42.31069,-83.05554",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Michigan/843-d-a-1881-detroit300/,https://archive.lib.msu.edu/maps/public/images/843-d-a-1881-detroit300-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/843-d-a-1881-detroit300.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Bloomingdale Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,97411c14-5f5f-4a27-a30c-10afc89ec430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97411c14-5f5f-4a27-a30c-10afc89ec430,,,"Image",,"-85.994668,42.332096,-85.87886,42.419998",,"42.376047,-85.936764",,,,https://lib.msu.edu/branches/map/MiJPEGs/12_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/12_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/12_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Genehoa, Jaloffi, et Sierraliones Regna",,Public,"Michigan State","Michigan State University Map Library",,"3374766: Cape Verde (country, state, region,...), Cape Verde",1645-1674,,"Jan Jansson",,JPEG,Latin,Image,950934f1-e29c-4337-816d-4fa1763d839a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950934f1-e29c-4337-816d-4fa1763d839a,,,"Image",,"-18.97,10.76,11.02,16.78",,"13.77,-3.975",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/300pt7-CapeVerde,https://archive.lib.msu.edu/maps/public/images/300pt7-CapeVerde.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/300pt7-CapeVerde.JPG,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Accurate Map of all his Majesty's Dominions in Germany, with the Adjacent Countries",,Public,"Michigan State","Michigan State University Map Library",,"2921044: Germany (country, state, region,...), Germany",1761,,,,JPEG,English,Image,8d7ab15e-5796-43f2-86e3-6e8ff1630d1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d7ab15e-5796-43f2-86e3-6e8ff1630d1d,,,"Image",,"7.65,51.25,12.1333,53.7333",,"52.49165,9.89165",,,,https://lib.msu.edu/branches/map/scanned/Europe/640-A-1761-400,https://archive.lib.msu.edu/maps/public/images/640-A-1761-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/640-A-1761-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
Africa,,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1876,,,,JPEG,English,Image,83f4d8d2-b000-4851-8e22-b716d0d8a58a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83f4d8d2-b000-4851-8e22-b716d0d8a58a,,,"Image",,"-18.6,-35.3,52.3,37.16",,"0.93,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/86_g125c72_1876_l,https://archive.lib.msu.edu/maps/public/images/86_g125c72_1876_th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/86_g125c72_1876_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Ober-Guinea und West-Sudan",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1892,,,,JPEG,German,Image,7e8e822d-abd3-4614-b879-2a8750dd1aba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e8e822d-abd3-4614-b879-2a8750dd1aba,,,"Image",,"-18.6,1.4,17.2,37.5",,"19.45,-0.700000000000001",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/85_g1019m4_1892/,https://archive.lib.msu.edu/maps/public/images/85_g1019m4_1892_th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/85_g1019m4_1892.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Old Pt. Royal",,Public,"Michigan State","Michigan State University Map Library",,"3489940: Jamaica (country, state, region,...), Jamaica",1785,,,,JPEG,English,Image,7c274ad5-9c89-47b4-87ab-3332cc62437c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7c274ad5-9c89-47b4-87ab-3332cc62437c,,,"Image",,"-76.8455438,17.9333171,-76.8379686,17.940369",,"17.93684305,-76.8417562",,,,https://lib.msu.edu/branches/map/scanned/SAmerica/237-d-A-1785-400,https://archive.lib.msu.edu/maps/public/images/237-d-A-1785-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/237-d-A-1785-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Africa Religions and Missions",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1913,,"J.G. Bartholomew",,JPEG,English,Image,7a333163-67b8-4519-8f54-5cc57a17826e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a333163-67b8-4519-8f54-5cc57a17826e,,,"Image",,"-18.6,-35.3,52.3,37.6",,"1.15,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/17_g2445b3_l,https://archive.lib.msu.edu/maps/public/images/17_g2445b3_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/17_g2445b3_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Territory of New Mexico",,Public,"Michigan State","Michigan State University Map Library",,"5481136: New Mexico (country, state, region,...), New Mexico, United States",1903,,,,JPEG,English,Image,78214dec-6c78-4c58-8dd9-6c32a22a34d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78214dec-6c78-4c58-8dd9-6c32a22a34d8,,,"Image",,"-109.0502,31.3322,-103.002,37.0003",,"34.16625,-106.0261",,,,https://lib.msu.edu/branches/map/scanned/USJPEGS/1903_NewMexico/,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/861_A-1903_th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/861_A-1903.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Race and Occupation of immigrants by destination. Also the yearly increase and decrease of each state’s proportion and the number.",,Public,"Michigan State","Michigan State University Map Library",,"6252001: United States (country, state, region,...), United States",1903,,,,JPEG,English,Image,77a3baf1-ce66-4a5c-a8a4-c7c155463edc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77a3baf1-ce66-4a5c-a8a4-c7c155463edc,,,"Image",,"170.6,18.8,-66.9,71.5",,"45.15,51.85",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/UnitedStates/800-C-1903,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/800-C-1903-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/800-C-1903.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Agyptenin Darfur und Abessinien",,Public,"Michigan State","Michigan State University Map Library",,"357994: Egypt (country, state, region,...), Egypt",1892,,,,JPEG,German,Image,72db0212-fc9f-4c09-8eb1-4a39e5658404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72db0212-fc9f-4c09-8eb1-4a39e5658404,,,"Image",,"30.93,11.27,45.61,32.76",,"22.015,38.27",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/83_g1019m4_1892/,https://archive.lib.msu.edu/maps/public/images/83_g1019m4_1892_th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/83_g1019m4_1892.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A Plan of the Town & Fortress of Gariah Belonging to Angria the Admiral to the Sahou Rajah on the Coast of Mallabar",,Public,"Michigan State","Michigan State University Map Library",,"1269750: India (country, state, region,...), India",1756,,,,JPEG,English,Image,72a691b8-689a-4997-8786-8cafca71142b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72a691b8-689a-4997-8786-8cafca71142b,,,"Image",,"73.3316219197,16.5598267197,73.3343198803,16.5625246803",,"16.5611757,73.3329709",,,,https://lib.msu.edu/branches/map/JPEGS/430-d-E-1756Gariah,https://archive.lib.msu.edu/maps/public/images/430-d-E-1756Gariah-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/430-d-E-1756Gariah.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"An Accurate Map of the West Indies containing the Bahama & Caribbe Islands",,Public,"Michigan State","Michigan State University Map Library",,"7729891: Caribbean (parks,area, ...)",1763,,,,JPEG,English,Image,7235ea7a-935c-41b3-ac4a-f3d9eeeda8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7235ea7a-935c-41b3-ac4a-f3d9eeeda8d2,,,"Image",,"-90.08,10.76,-60.46,28.14",,"19.45,-75.27",,,,https://lib.msu.edu/branches/map/scanned/SAmerica/230-A-1763-400,https://archive.lib.msu.edu/maps/public/images/230-A-1763-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/230-A-1763-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"The Moguls Empire Divided into its Principal Governments",,Public,"Michigan State","Michigan State University Map Library",,"1269750: India (country, state, region,...), India",1767,,,,JPEG,English,Image,7060ed90-2ebf-4b4c-9fe9-adebff363a91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7060ed90-2ebf-4b4c-9fe9-adebff363a91,,,"Image",,"68.11,6.55,97.4,35.67",,"21.11,82.755",,,,https://lib.msu.edu/branches/map/JPEGS/430-A_1767India,https://archive.lib.msu.edu/maps/public/images/430-A-1767India-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/430-A_1767India.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Plan of an American Country Town",,Public,"Michigan State","Michigan State University Map Library",,"6252001: United States (country, state, region,...), United States",1770,,,,JPEG,English,Image,6c680823-ef95-4706-bef8-ebb38ff2f8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c680823-ef95-4706-bef8-ebb38ff2f8bf,,,"Image",,"170.6,18.8,-66.9,71.5",,"45.15,51.85",,,,https://lib.msu.edu/branches/map/scanned/US/scannedmaps/990-A-1770-400/,https://archive.lib.msu.edu/maps/public/images/990-A-1770-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/990-A-1770-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the Country Embracing the Route of the Expedition of 1823 Commanded by Major S.H. Long",,Public,"Michigan State","Michigan State University Map Library",,"6252001: United States (country, state, region,...), United States",1823,,,,JPEG,English,Image,69253ca8-cb6d-4ded-828c-d9288bd3ef28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69253ca8-cb6d-4ded-828c-d9288bd3ef28,,,"Image",,"-99.5585,36.2627,-73.7155,52.7911",,"44.5269,-86.637",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/North_America_Canada/800-c-reg4-D-1823-400,https://archive.lib.msu.edu/maps/public/images/800-c-reg4-D-1823-400-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/800-c-reg4-D-1823-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Plan of the New Town of Halifax in Nova Scotia",,Public,"Michigan State","Michigan State University Map Library",,"6324729: Halifax (city, village,...), Nova Scotia, Canada",1749,,,,JPEG,English,Image,651dca14-6522-49d8-b761-1859b8c339bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651dca14-6522-49d8-b761-1859b8c339bd,,,"Image",,"-63.643177,44.619008,-63.56078,44.676652",,"44.64783,-63.6019785",,,,https://lib.msu.edu/branches/map/scanned/World/132-d-A-1749-400,https://archive.lib.msu.edu/maps/public/images/132-d-A-1749-th,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/132-d-A-1749-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A Map of the Garden of Eden before God Destroy'd it with the Flood",,Public,"Michigan State","Michigan State University Map Library",,"6295630: World (parks,area, ...)",-4122,,,,JPEG,English,Image,628267e2-45d5-4425-b96f-7d4866da2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628267e2-45d5-4425-b96f-7d4866da2809,,,"Image",,"-180,-90,180,90",,"0,0",,,,https://lib.msu.edu/branches/map/JPEGS/990-B-1738Eden,https://archive.lib.msu.edu/maps/public/images/990-B-4122BC1738-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/990-B-1738Eden.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
Africa-Political,,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1922,,"J.G. Bartholomew",,JPEG,German,Image,6220ab8c-5715-43e6-9074-547570ee6cdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6220ab8c-5715-43e6-9074-547570ee6cdb,,,"Image",,"-18.6,-35.3,52.3,37.16",,"0.93,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/49-G1019B44-1922,https://archive.lib.msu.edu/maps/public/images/af1922t.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/49-G1019B44-1922.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Hamilton Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,5f7935fa-617d-4716-876c-134f25306d06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7935fa-617d-4716-876c-134f25306d06,,,"Image",,"-86.124522,42.067305,-85.993372,42.163826",,"42.1155655,-86.058947",,,,https://lib.msu.edu/branches/map/MiJPEGs/26_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/26_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/26_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"South Haven Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,5d79b947-5830-4337-b58d-428cd6fbcf1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d79b947-5830-4337-b58d-428cd6fbcf1c,,,"Image",,"-86.311526,42.330823,-86.224097,42.419407",,"42.375115,-86.2678115",,,,https://lib.msu.edu/branches/map/MiJPEGs/38_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/38_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/38_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A Map of the Surrey Side the Thames from Westminster Bridge to the Borough With a Plan for Laying out the Roads to Blackfyars Bridge",,Public,"Michigan State","Michigan State University Map Library",,"2643743: London (city, village,...), England, United Kingdom",1766,,,,JPEG,English,Image,5b3e9505-4ef5-41e0-985b-80e816a266e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3e9505-4ef5-41e0-985b-80e816a266e2,,,"Image",,"-0.119407,51.494701,-0.092076,51.508565",,"51.501633,-0.1057415",,,,https://lib.msu.edu/branches/map/scanned/Europe/621-d-A-1766-400,https://archive.lib.msu.edu/maps/public/images/621-d-A-1766-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/621-d-A-1766-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Modern Africa",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1913,,,,JPEG,English,Image,5988e82f-5a94-4e12-995a-a432ca4e4d7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5988e82f-5a94-4e12-995a-a432ca4e4d7f,,,"Image",,"-18.6,-35.3,52.3,37.7",,"1.2,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/18-19_g2445b3_l,https://archive.lib.msu.edu/maps/public/images/18-19_g2445b3_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Africa/18-19_g2445b3-600.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the city of El Paso Texas, 1906. Compiled by E. C. Baer.  From Claims growing out of insurrection in Mexico.",,Public,"Michigan State","Michigan State University Map Library",,"5521001: El Paso County (country, state, region,...), Texas, United States",1906,,,,JPEG,English,Image,535c1b06-5f14-4b4c-819e-5283e7d0f197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535c1b06-5f14-4b4c-819e-5283e7d0f197,,,"Image",,"-106.5166,31.7463,-106.4311,31.8111",,"31.7787,-106.47385",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/UnitedStates/882-d-a-1906-elpaso,https://archive.lib.msu.edu/maps/public/images/882-d-a-1906-elpaso-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/882-d-a-1906-elpaso.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Decatur Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,4f7f6bb6-2c42-4dd5-85a3-6fa4f728e608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4f7f6bb6-2c42-4dd5-85a3-6fa4f728e608,,,"Image",,"-85.993979,42.069444,-85.877083,42.170787",,"42.1201155,-85.935531",,,,https://lib.msu.edu/branches/map/MiJPEGs/20_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/20_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/20_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
